trial,worker,game,opponent,C_PARAM,DEPTH_LIMIT,PB_WEIGHT,RAVE_K,PHASE_LATE_TURN,PHASE_LATE_LENGTH,FOOD_WEIGHT_EARLY,SPACE_WEIGHT_LATE,CENTER_WEIGHT_LATE,CORNER_WEIGHT_LATE,KILL_WEIGHT_LATE,result,survival,final_length,optuna_score
6,0,13,Vanilla,2.8434,8,5.5623,677.3,47,10,2.9126,1.4197,1.6988,4.8192,1.7941,win,0.0767,5,0.7365
6,0,14,MCTS3,2.8434,8,5.5623,677.3,47,10,2.9126,1.4197,1.6988,4.8192,1.7941,win,0.1067,5,0.741
6,0,15,Vanilla,2.8434,8,5.5623,677.3,47,10,2.9126,1.4197,1.6988,4.8192,1.7941,loss,0.3333,7,0.1
6,0,16,MCTS3,2.8434,8,5.5623,677.3,47,10,2.9126,1.4197,1.6988,4.8192,1.7941,loss,0.8633,17,0.2795
6,0,17,MCTS3,2.8434,8,5.5623,677.3,47,10,2.9126,1.4197,1.6988,4.8192,1.7941,win,0.28,9,0.817
6,0,18,MCTS3,2.8434,8,5.5623,677.3,47,10,2.9126,1.4197,1.6988,4.8192,1.7941,win,0.2933,11,0.844
6,0,19,Vanilla,2.8434,8,5.5623,677.3,47,10,2.9126,1.4197,1.6988,4.8192,1.7941,win,0.48,9,0.847
9,5,0,MCTS3,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,loss,0.3433,6,0.089
9,5,1,MCTS3,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,win,0.2867,8,0.8055
9,5,2,Heuristic,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,loss,0.0867,5,0.038
9,5,3,MCTS3,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,loss,0.2267,5,0.059
9,5,4,Heuristic,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,loss,0.2767,7,0.0915
9,5,5,Vanilla,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,loss,0.3033,8,0.108
9,5,6,Heuristic,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,loss,0.3367,8,0.113
9,5,7,Heuristic,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,loss,0.1567,3,0.0235
9,5,8,MCTS3,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,loss,0.2433,4,0.049
9,5,9,MCTS3,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,loss,0.77,11,0.2155
9,5,10,Heuristic,1.9575,14,6.8869,326.2,55,5,3.0951,2.9618,1.1911,4.2294,4.5528,loss,0.1467,7,0.072
1,3,0,MCTS3,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,loss,0.51,10,0.164
1,3,1,Vanilla,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,win,0.1333,6,0.7575
1,3,2,MCTS3,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,win,0.5367,13,0.9055
1,3,3,Heuristic,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,win,0.38,9,0.832
1,3,4,Vanilla,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,win,0.0767,5,0.7365
1,3,5,MCTS3,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,win,0.24,8,0.7985
1,3,6,MCTS3,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,loss,0.3833,8,0.12
1,3,7,Vanilla,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,win,0.4,10,0.8475
1,3,8,MCTS3,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,loss,0.56,14,0.2215
1,3,9,MCTS3,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,loss,0.8833,18,0.2825
1,3,10,Heuristic,1.8416,10,9.5808,54.9,62,5,2.4986,4.8587,1.9056,4.6438,6.2334,loss,0.1033,4,0.028
